name,norad_id,epoch_year,epoch_day,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,bstar_drag,classification,source,line1,line2,semi_major_axis_km,orbital_period_min,altitude_km
CALSPHERE 1,900,26,217.09572476,90.2192,72.9118,0.0026645,140.0248,344.132,826.002216,0.00041527999999999997,U,active,1 00900U 64063C   26217.09572476  .00000418  00000+0  41528-3 0  9991,2 00900  90.2192  72.9118 0026645 140.0248 344.1320 13.76670360 78151,7353.857329159526,104.60020363916313,982.8573291595258
CALSPHERE 2,902,26,217.15423016,90.2316,76.9582,0.0020636,85.5619,44.194100000000006,811.7423286000001,4.7948e-05,U,active,1 00902U 64063E   26217.15423016  .00000041  00000+0  47948-4 0  9990,2 00902  90.2316  76.9582 0020636  85.5619  44.1941 13.52903881862887,7439.730656748988,106.43771669393267,1068.7306567489877
LCS 1,1361,26,216.94394748,32.1432,61.2546,0.0012187,294.5861,65.3367,593.5864146,-0.00078274,U,active,1 01361U 65034C   26216.94394748  .00000002  00000+0 -78274-3 0  9997,2 01361  32.1432  61.2546 0012187 294.5861  65.3367  9.89310691214717,9166.003944040966,145.55589190534684,2795.0039440409655
TEMPSAT 1,1512,26,216.97981001,89.9988,212.5956,0.0071589,111.0472,303.9176,800.1579024,4.6323e-05,U,active,1 01512U 65065E   26216.97981001  .00000033  00000+0  46323-4 0  9990,2 01512  89.9988 212.5956 0071589 111.0472 303.9176 13.33596504966557,7511.365165926785,107.9786873826418,1140.3651659267853
CALSPHERE 4A,1520,26,217.28257122,89.8975,122.00350000000002,0.0069126,326.7499,155.2958,801.7717518000001,0.00010727000000000001,U,active,1 01520U 65065H   26217.28257122  .00000065  00000+0  10727-3 0  9997,2 01520  89.8975 122.0035 0069126 326.7499 155.2958 13.36286253969269,7501.282261003315,107.76134206029283,1130.2822610033154
OPS 5712 (P/L 160),2826,26,217.24933366,69.916,277.9837,0.0003759,294.6742,65.4015,886.9924235999999,0.00058284,U,active,1 02826U 67053A   26217.24933366  .00004168  00000+0  58284-3 0  9991,2 02826  69.9160 277.9837 0003759 294.6742  65.4015 14.78320706 73483,7012.766866962328,97.40782187217772,641.7668669623281
LES-5,2866,26,216.83580435,2.7331,94.9384,0.0051291,214.4738,114.1236,65.6550714,0.0,U,active,1 02866U 67066E   26216.83580435 -.00000040  00000+0  00000+0 0  9993,2 02866   2.7331  94.9384 0051291 214.4738 114.1236  1.09425119131560,39779.301807443815,1315.9684112383738,33408.301807443815
SURCAL 159,2872,26,217.25605729,69.97220000000002,255.16589999999997,0.0005016,30.405099999999997,329.7347,839.7675330000001,4.8938e-05,U,active,1 02872U 67053F   26217.25605729  .00000018  00000+0  48938-4 0  9998,2 02872  69.9722 255.1659 0005016  30.4051 329.7347 13.99612555 17070,7273.274104342493,102.88561608394545,902.274104342493
OPS 5712 (P/L 153),2874,26,216.38787047,69.975,11.9892,0.0005678,151.2949,208.847,838.101021,4.0043e-05,U,active,1 02874U 67053H   26216.38787047  .00000002  00000+0  40043-4 0  9999,2 02874  69.9750  11.9892 0005678 151.2949 208.8470 13.96835035 13529,7282.91254874682,103.09019776268714,911.91254874682
RIGIDSPHERE 2 (LCS 4),5398,26,217.25345821,87.6251,325.1889,0.006197,71.0538,289.7364,862.7559996000001,0.00015056,U,active,1 05398U 71067E   26217.25345821  .00000484  00000+0  15056-3 0  9999,2 05398  87.6251 325.1889 0061970  71.0538 289.7364 14.37926666880936,7143.493976701512,100.14418913349508,772.4939767015121
OSCAR 7 (AO-7),7530,26,217.04952266,101.9913,230.8062,0.0012501,39.5182,339.2032,752.2193502000001,-2.4556e-05,U,active,1 07530U 74089B   26217.04952266 -.00000050  00000+0 -24556-4 0  9997,2 07530 101.9913 230.8062 0012501  39.5182 339.2032 12.53698917366647,7827.198374984141,114.86011357860971,1456.198374984141
STARLETTE,7646,26,217.24966853,49.8258,270.9351,0.020576,225.1435,133.2583,829.4107703999999,1.3065e-05,U,active,1 07646U 75010A   26217.24966853 -.00000124  00000+0  13065-4 0  9993,2 07646  49.8258 270.9351 0205760 225.1435 133.2583 13.82351284601324,7333.695849323919,104.17033764624477,962.695849323919
LAGEOS 1,8820,26,217.02642838,109.8077,196.0468,0.0044656,291.7949,286.8023,383.1988278,0.0,U,active,1 08820U 76039A   26217.02642838  .00000019  00000+0  00000+0 0  9992,2 08820 109.8077 196.0468 0044656 291.7949 286.8023  6.38664713916258,12271.1866032015,225.4704183100844,5900.1866032015005
PHASE 3B (AO-10),14129,26,216.43800963,25.9535,211.6366,0.5994941,128.91510000000002,301.7364,123.52308359999999,0.0,U,active,1 14129U 83058B   26216.43800963 -.00000195  00000+0  00000+0 0  9995,2 14129  25.9535 211.6366 5994941 128.9151 301.7364  2.05871806296481,26101.808059481053,699.4644035910386,19730.808059481053
